"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","2021","Total - Age","Total - Gender","","0","units","0","","1.1.1.1","36991980","","","","0"
"2021","Canada","2021A000011124","2021","Total - Age","Men+","","0","units","0","","1.1.1.2","18226240","","","","0"
"2021","Canada","2021A000011124","2021","Total - Age","Women+","","0","units","0","","1.1.1.3","18765740","","","","0"
"2021","Canada","2021A000011124","2021","0 to 14 years","Total - Gender","","0","units","0","","1.1.2.1","6012795","","","","0"
"2021","Canada","2021A000011124","2021","0 to 14 years","Men+","","0","units","0","","1.1.2.2","3086510","","","","0"
"2021","Canada","2021A000011124","2021","0 to 14 years","Women+","","0","units","0","","1.1.2.3","2926285","","","","0"
"2021","Canada","2021A000011124","2021","0 to 4 years","Total - Gender","","0","units","0","","1.1.3.1","1831195","","","","0"
"2021","Canada","2021A000011124","2021","0 to 4 years","Men+","","0","units","0","","1.1.3.2","938790","","","","0"
"2021","Canada","2021A000011124","2021","0 to 4 years","Women+","","0","units","0","","1.1.3.3","892405","","","","0"
"2021","Canada","2021A000011124","2021","Under 1 year","Total - Gender","","0","units","0","","1.1.4.1","343135","","","","0"
"2021","Canada","2021A000011124","2021","Under 1 year","Men+","","0","units","0","","1.1.4.2","176395","","","","0"
"2021","Canada","2021A000011124","2021","Under 1 year","Women+","","0","units","0","","1.1.4.3","166740","","","","0"
"2021","Canada","2021A000011124","2021","1","Total - Gender","","0","units","0","","1.1.5.1","355390","","","","0"
"2021","Canada","2021A000011124","2021","1","Men+","","0","units","0","","1.1.5.2","181860","","","","0"
"2021","Canada","2021A000011124","2021","1","Women+","","0","units","0","","1.1.5.3","173525","","","","0"
"2021","Canada","2021A000011124","2021","2","Total - Gender","","0","units","0","","1.1.6.1","365325","","","","0"
"2021","Canada","2021A000011124","2021","2","Men+","","0","units","0","","1.1.6.2","186860","","","","0"
"2021","Canada","2021A000011124","2021","2","Women+","","0","units","0","","1.1.6.3","178470","","","","0"
"2021","Canada","2021A000011124","2021","3","Total - Gender","","0","units","0","","1.1.7.1","377035","","","","0"
"2021","Canada","2021A000011124","2021","3","Men+","","0","units","0","","1.1.7.2","193235","","","","0"
"2021","Canada","2021A000011124","2021","3","Women+","","0","units","0","","1.1.7.3","183800","","","","0"
"2021","Canada","2021A000011124","2021","4","Total - Gender","","0","units","0","","1.1.8.1","390315","","","","0"
"2021","Canada","2021A000011124","2021","4","Men+","","0","units","0","","1.1.8.2","200445","","","","0"
"2021","Canada","2021A000011124","2021","4","Women+","","0","units","0","","1.1.8.3","189875","","","","0"
"2021","Canada","2021A000011124","2021","5 to 9 years","Total - Gender","","0","units","0","","1.1.9.1","2054895","","","","0"
"2021","Canada","2021A000011124","2021","5 to 9 years","Men+","","0","units","0","","1.1.9.2","1054245","","","","0"
"2021","Canada","2021A000011124","2021","5 to 9 years","Women+","","0","units","0","","1.1.9.3","1000655","","","","0"
"2021","Canada","2021A000011124","2021","5","Total - Gender","","0","units","0","","1.1.10.1","402100","","","","0"
"2021","Canada","2021A000011124","2021","5","Men+","","0","units","0","","1.1.10.2","205945","","","","0"
"2021","Canada","2021A000011124","2021","5","Women+","","0","units","0","","1.1.10.3","196160","","","","0"
"2021","Canada","2021A000011124","2021","6","Total - Gender","","0","units","0","","1.1.11.1","407070","","","","0"
"2021","Canada","2021A000011124","2021","6","Men+","","0","units","0","","1.1.11.2","208850","","","","0"
"2021","Canada","2021A000011124","2021","6","Women+","","0","units","0","","1.1.11.3","198215","","","","0"
