REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.1.7.1.1.1,10262925,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.1.7.1.2.1,78845,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.1.7.1.3.1,31550,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.1.7.1.4.1,43665,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.1.7.1.5.1,65255,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.1.7.1.6.1,101720,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.1.7.1.7.1,133430,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.1.7.1.8.1,225135,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.1.7.1.9.1,326915,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.1.7.1.10.1,351890,,,,0
